id,identifier,category_id,cost,fling_power,fling_effect_id,name,short_effect,effect
194,quick-claw,12,4000,80,,Quick Claw,Held: Holder has a 3/16 (18.75%) chance to move first.,"Held in battle
:   Whenever the holder attempts to use a move, it has a 3/16 chance to act first among moves with the same [priority]{mechanic:priority}.  If multiple Pokémon have this effect at the same time, [Speed]{mechanic:speed} is the tie-breaker as normal, but the effect of []{move:trick-room} is ignored."
195,soothe-bell,16,4000,10,,Soothe Bell,Held: Doubles the happiness earned by the holder.,"Held
:   When the holder would earn [happiness]{mechanic:happiness} for any reason, it earns twice that amount instead."
196,mental-herb,12,4000,10,4,Mental Herb,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body.","Held in battle
:   When the holder is [attracted]{move:attract}, it consumes this item to cure the attraction."
197,choice-band,13,4000,10,,Choice Band,"Held: Increases Attack by 50%, but restricts the holder to only one move.","Held in battle
:   Holder has 1.5× its [Attack]{mechanic:attack}.  When the holder attempts to use a move, all its other moves are disabled until it leaves battle or loses this item.

    The restriction ends even if this item is swapped for another Choice item
via []{move:trick} or []{move:switcheroo}."
198,kings-rock,12,5000,30,7,King’s Rock,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.,"Held in battle
:   Holder's damaging moves have a 10% chance to make their target [flinch]{mechanic:flinch}.  This chance applies independently to each hit of a multi-hit move.

    This item's chance is rolled independently of any other move effects;
e.g., a move with a 30% chance to flinch normally will have a 37% total chance to flinch when used with this item, because 3% of the time, both effects activate.

Held by []{pokemon:poliwhirl} or []{pokemon:slowbro}
:   Holder evolves into []{pokemon:politoed} or []{pokemon:slowking}, respectively, when traded."
199,silver-powder,19,1000,10,,Silver Powder,Held: Bug-Type moves from holder do 20% more damage.,"Held in battle
:   Holder's []{type:bug}-type moves have 1.2× their power.
"
200,amulet-coin,16,10000,30,,Amulet Coin,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.,"Held
:   If the holder participated in a trainer battle, the trainer earns twice the usual prize money.  This effect applies even if the holder [fainted]{mechanic:fainted}.

    This effect does not stack with any other similar effect."
201,cleanse-tag,16,5000,30,,Cleanse Tag,Prevents wild encounters of level lower than your party's lead Pokémon.,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
202,soul-dew,18,0,30,,Soul Dew,Raises Latias and Latios's Special Attack and Special Defense by 50%.,Held by Latias or Latios: Increases the holder's Special Attack and Special Defense by 50%.
203,deep-sea-tooth,18,2000,90,,Deep Sea Tooth,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.,Held by Clamperl: Doubles the holder's Special Attack.  Evolves the holder into Huntail when traded.
204,deep-sea-scale,18,2000,30,,Deep Sea Scale,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.,Held by Clamperl: Doubles the holder's Special Defense.  Evolves the holder into Gorebyss when traded.
205,smoke-ball,12,4000,30,,Smoke Ball,Held: Allows the Holder to escape from any wild battle.,"Held: In wild battles, attempts to run away on the holder's turn will always succeed."
206,everstone,16,3000,30,,Everstone,Held: Prevents level-based evolution from occuring.,"Held: Prevents the holder from evolving naturally.  Evolution initiated by the trainer (Stones, etc) will still work."
207,focus-band,12,4000,10,,Focus Band,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.,"Held: If the holder is attacked for regular damage that would faint it, this item has a 10% chance to prevent the holder's HP from lowering below 1."
208,lucky-egg,16,10000,30,,Lucky Egg,Held: Increases EXP earned in battle by 50%.,Held: Increases any Exp the holder gains by 50%.
209,scope-lens,12,4000,30,,Scope Lens,Held: Raises the holder's critical hit ratio by one stage.,Held: Raises the holder's critical hit counter by 1.
210,metal-coat,19,2000,30,,Metal Coat,Held: Steel-Type moves from holder do 20% more damage.,"Held: Increases the power of the holder's Steel moves by 20%.
Held by Onix or Scyther: Evolves the holder into Steelix or Scizor when traded, respectively."
211,leftovers,12,4000,10,,Leftovers,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.,Held: Heals the holder by 1/16 its max HP at the end of each turn.
212,dragon-scale,10,2000,30,,Dragon Scale,Traded on a Seadra: Holder evolves into Kingdra.,Held by Seadra: Evolves the holder into Kingdra when traded.
213,light-ball,18,1000,30,5,Light Ball,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.,Held by Pikachu: Doubles the holder's initial Attack and Special Attack.
214,soft-sand,19,1000,10,,Soft Sand,Held: Ground-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Ground moves by 20%.
215,hard-stone,19,1000,100,,Hard Stone,Held: Rock-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Rock moves by 20%.
216,miracle-seed,19,1000,30,,Miracle Seed,Held: Grass-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Grass moves by 20%.
217,black-glasses,19,1000,30,,Black Glasses,Held: Dark-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Dark moves by 20%.
218,black-belt,19,1000,30,,Black Belt,Held: Fighting-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Fighting moves by 20%.
219,magnet,19,1000,30,,Magnet,Held: Electric-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Electric moves by 20%.
220,mystic-water,19,1000,30,,Mystic Water,Held: Water-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Water moves by 20%.
221,sharp-beak,19,1000,50,,Sharp Beak,Held: Flying-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Flying moves by 20%.
222,poison-barb,19,1000,70,6,Poison Barb,Held: Poison-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Poison moves by 20%.
223,never-melt-ice,19,1000,30,,Never-Melt Ice,Held: Ice-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Ice moves by 20%.
224,spell-tag,19,1000,30,,Spell Tag,Held: Ghost-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Ghost moves by 20%.
225,twisted-spoon,19,1000,30,,Twisted Spoon,Held: Psychic-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Psychic moves by 20%.
226,charcoal,19,1000,30,,Charcoal,Held: Fire-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Fire moves by 20%.
227,dragon-fang,19,1000,70,,Dragon Fang,Held: Dragon-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Dragon moves by 20%.
228,silk-scarf,19,1000,10,,Silk Scarf,Held: Normal-Type moves from holder do 20% more damage.,Held: Increases the power of the holder's Normal moves by 20%.
229,up-grade,10,2000,30,,Upgrade,Traded on a Porygon: Holder evolves into Porygon2.,Held by Porygon: Evolves the holder into Porygon2 when traded.
230,shell-bell,12,4000,30,,Shell Bell,Held: Holder receives 1/8 of the damage it deals when attacking.,Held: Heals the holder by 1/8 of any damage it inflicts.
231,sea-incense,19,2000,10,,Sea Incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.,Held: Increases the power of the holder's Water moves by 20%.
232,lax-incense,12,5000,10,,Lax Incense,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.,Held: Increases the holder's Evasion by 5%.
233,lucky-punch,18,1000,40,,Lucky Punch,Raises Chansey's critical hit ratio by two stages.,Held by Chansey: Raises the holder's critical hit counter by 2.
234,metal-powder,18,1000,10,,Metal Powder,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.,Held by Ditto: Increases the holder's initial Defense and Special Defense by 50%.
235,thick-club,18,1000,90,,Thick Club,Doubles Cubone or Marowak's Attack.,Held by Cubone or Marowak: Doubles the holder's Attack.
236,stick,18,1000,60,,Leek,Raises Farfetch'd's critical hit ratio by two stages.,Held by Farfetch'd: Raises the holder's critical hit counter by 2.
237,red-scarf,36,100,10,,Red Scarf,Raises the holder's Coolness while in a contest.,Held: Increases the holder's Coolness during a Super Contest's Visual Competition.
238,blue-scarf,36,100,10,,Blue Scarf,Raises the holder's Beauty while in a contest.,Held: Increases the holder's Beauty during a Super Contest's Visual Competition.
239,pink-scarf,36,100,10,,Pink Scarf,Raises the holder's Cuteness while in a contest.,Held: Increases the holder's Cuteness during a Super Contest's Visual Competition.
240,green-scarf,36,100,10,,Green Scarf,Raises the holder's Smartness while in a contest.,Held: Increases the holder's Smartness during a Super Contest's Visual Competition.
241,yellow-scarf,36,100,10,,Yellow Scarf,Raises the holder's Toughness while in a contest.,Held: Increases the holder's Toughness during a Super Contest's Visual Competition.
242,wide-lens,12,4000,10,,Wide Lens,Held: Provides a 1/10 (10%) boost in accuracy to the holder.,Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).
243,muscle-band,12,4000,10,,Muscle Band,Held: Boosts the damage of physical moves used by the holder by 10%.,Held: Increases the power of the holder's physical moves by 10%.
244,wise-glasses,12,4000,10,,Wise Glasses,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).,Held: Increases the power of the holder's special moves by 10%.
245,expert-belt,12,4000,10,,Expert Belt,Held: Holder's Super Effective moves do 20% extra damage.,"Held: When the holder hits with a super-effective move, its power is raised by 20%."
246,light-clay,12,4000,30,,Light Clay,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.,"Held: The holder's Reflect and Light Screen will create effects lasting for eight turns rather than five.  As this item affects the move rather than the barrier itself, the effect is not lost if the holder leaves battle or drops this item."
247,life-orb,12,4000,30,,Life Orb,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.","Held: Damage from the holder's moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage."
248,power-herb,12,4000,10,,Power Herb,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.,"Held: Whenever the holder uses a move that requires a turn to charge first (Bounce, Dig, Dive, Fly, Razor Wind, Skull Bash, Sky Attack, or Solarbeam), this item is consumed and the charge is skipped.  Skull Bash still provides a Defense boost."
249,toxic-orb,15,4000,30,1,Toxic Orb,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.,Held: Badly poisons the holder at the end of each turn.
250,flame-orb,15,4000,30,2,Flame Orb,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.,Held: Burns the holder at the end of each turn.
251,quick-powder,18,1000,10,,Quick Powder,Doubles Ditto's Speed when held. The boost is lost after transforming.,Held by Ditto: Doubles the holder's initial Speed.
252,focus-sash,12,4000,10,,Focus Sash,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.","Held: If the holder has full HP and is attacked for regular damage that would faint it, this item is consumed and prevents the holder's HP from lowering below 1.  This effect works against multi-hit attacks, but does not work against the effects of Doom Desire or Future Sight."
253,zoom-lens,12,4000,10,,Zoom Lens,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.,"Held: Raises the holder's Accuracy by 20% when it goes last.
Ingame description is incorrect."
254,metronome,12,4000,30,,Metronome,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.,"Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%."
255,iron-ball,15,4000,130,,Iron Ball,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.","Held: Decreases the holder's Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes."
256,lagging-tail,15,4000,10,,Lagging Tail,Held: Holder moves last in its priority bracket.,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
257,destiny-knot,12,4000,10,,Destiny Knot,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.,"Held: When the holder becomes Attracted, the Pokémon it is Attracted to becomes Attracted back."
258,black-sludge,12,4000,30,,Black Sludge,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.,"Held: If the holder is Poison-type, restores 1/16 max HP at the end of each turn.  Otherwise, damages the holder by 1/16 its max HP at the end of each turn."
259,icy-rock,12,4000,40,,Icy Rock,Held: Hail by the holder lasts 8 rounds instead of 5.,"Held: The holder's Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
260,smooth-rock,12,4000,10,,Smooth Rock,Held: Sandstorm by the holder lasts 8 rounds instead of 5.,"Held: The holder's Sandstorm will create a sandstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
261,heat-rock,12,4000,60,,Heat Rock,Held: Sunny Day by the holder lasts 8 rounds instead of 5.,"Held: The holder's Sunny Day will create sunshine lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
262,damp-rock,12,4000,60,,Damp Rock,Held: Rain Dance by the holder lasts 8 rounds instead of 5.,"Held: The holder's Rain Dance will create rain lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
263,grip-claw,12,4000,90,,Grip Claw,Held: Holder's multi-turn trapping moves last 5 turns.,Held: Increases the duration of the holder's multiturn (2-5 turn) moves by three turns.
264,choice-scarf,13,4000,10,,Choice Scarf,"Held: Increases Speed by 50%, but restricts the holder to only one move.","Held: Increases the holder's Speed by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
265,sticky-barb,15,4000,80,,Sticky Barb,"Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one.","Held: Damaged the holder for 1/8 its max HP.  When the holder is struck by a contact move, damages the attacker for 1/8 its max HP; if the attacker is not holding an item, it will take this item."
266,power-bracer,14,3000,70,,Power Bracer,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
267,power-belt,14,3000,70,,Power Belt,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
268,power-lens,14,3000,70,,Power Lens,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
269,power-band,14,3000,70,,Power Band,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
270,power-anklet,14,3000,70,,Power Anklet,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
271,power-weight,14,3000,70,,Power Weight,"Held: Holder gains 4 HP effort values, but has halved Speed in battle.","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
272,shed-shell,12,4000,10,,Shed Shell,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.,Held: The holder is unaffected by any moves or abilities that would prevent it from actively leaving battle.
273,big-root,12,4000,10,,Big Root,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).","Held: HP restored from Absorb, Aqua Ring, Drain Punch, Dream Eater, Giga Drain, Ingrain, Leech Life, Leech Seed, and Mega Drain is increased by 30%.  Damage inflicted is not affected."
274,choice-specs,13,4000,10,,Choice Specs,"Held: Increases Special Attack by 50%, but restricts the holder to only one move.","Held: Increases the holder's Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
275,flame-plate,17,1000,90,,Flame Plate,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.,"Held: Increases the power of the holder's Fire moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fire."
276,splash-plate,17,1000,90,,Splash Plate,Held: Water-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Water.,"Held: Increases the power of the holder's Water moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Water."
277,zap-plate,17,1000,90,,Zap Plate,Held: Electric-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Electric.,"Held: Increases the power of the holder's Electric moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Electric."
278,meadow-plate,17,1000,90,,Meadow Plate,Held: Grass-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Grass.,"Held: Increases the power of the holder's Grass moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Grass."
279,icicle-plate,17,1000,90,,Icicle Plate,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.,"Held: Increases the power of the holder's Ice moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ice."
280,fist-plate,17,1000,90,,Fist Plate,Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fighting.,"Held: Increases the power of the holder's Fighting moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fighting."
281,toxic-plate,17,1000,90,,Toxic Plate,Held: Posion-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Posion.,"Held: Increases the power of the holder's Poison moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Poison."
282,earth-plate,17,1000,90,,Earth Plate,Held: Ground-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ground.,"Held: Increases the power of the holder's Ground moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ground."
283,sky-plate,17,1000,90,,Sky Plate,Held: Flying-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Flying.,"Held: Increases the power of the holder's Flying moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Flying."
284,mind-plate,17,1000,90,,Mind Plate,Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Psychic.,"Held: Increases the power of the holder's Psychic moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Psychic."
285,insect-plate,17,1000,90,,Insect Plate,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.,"Held: Increases the power of the holder's Bug moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Bug."
286,stone-plate,17,1000,90,,Stone Plate,Held: Rock-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Rock.,"Held: Increases the power of the holder's Rock moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Rock."
287,spooky-plate,17,1000,90,,Spooky Plate,Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ghost.,"Held: Increases the power of the holder's Ghost moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ghost."
288,draco-plate,17,1000,90,,Draco Plate,Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.,"Held: Increases the power of the holder's Dragon moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dragon."
289,dread-plate,17,1000,90,,Dread Plate,Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.,"Held: Increases the power of the holder's Dark moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dark."
290,iron-plate,17,1000,90,,Iron Plate,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.,"Held: Increases the power of the holder's Steel moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Steel."
291,odd-incense,19,2000,10,,Odd Incense,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.,Held: Increases the power of the holder's Psychic moves by 20%.
292,rock-incense,19,2000,10,,Rock Incense,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.,Held: Increases the power of the holder's Rock moves by 20%.
293,full-incense,15,5000,10,,Full Incense,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
294,wave-incense,19,2000,10,,Wave Incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.,Held: Increases the power of the holder's Water moves by 20%.
295,rose-incense,19,2000,10,,Rose Incense,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.,Held: Increases the power of the holder's Grass moves by 20%.
296,luck-incense,16,11000,10,,Luck Incense,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.,Held: Doubles the money the trainer receives after an in-game trainer battle.  This effect cannot apply more than once to the same battle.
297,pure-incense,16,6000,10,,Pure Incense,Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
298,protector,10,2000,80,,Protector,Traded on a Rhydon: Holder evolves into Rhyperior.,Held by Rhydon: Evolves the holder into Rhyperior when traded.
299,electirizer,10,2000,80,,Electirizer,Traded on an Electabuzz: Holder evolves into Electivire.,Held by Electabuzz: Evolves the holder into Electivire when traded.
300,magmarizer,10,2000,80,,Magmarizer,Traded on a Magmar: Holder evolves into Magmortar.,Held by Magmar: Evolves the holder into Magmortar when traded.
301,dubious-disc,10,2000,50,,Dubious Disc,Traded on a Porygon2: Holder evolves into Porygon-Z.,Held by Porygon2: Evolves the holder into Porygon-Z when traded.
302,reaper-cloth,10,2000,10,,Reaper Cloth,Traded on a Dusclops: Holder evolves into Dusknoir.,Held by Dusclops: Evolves the holder into Dusknoir when traded.
303,razor-claw,12,5000,80,,Razor Claw,Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.,"Held: Raises the holder's critical hit counter by 1.
Held by Sneasel: Evolves the holder into Weavile when it levels up during the night."
304,razor-fang,12,5000,30,7,Razor Fang,Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.,"Held: When the holder attacks with most damaging moves, provides an extra 11.7% (30/256) chance for the target to flinch.
Held by Gligar: Evolves the holder into Gliscor when it levels up."
305,tm01,37,40000,,,TM01,Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch),Teaches Focus Punch to a compatible Pokémon.
306,tm02,37,1000,,,TM02,Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind),Teaches Dragon Claw to a compatible Pokémon.
307,tm03,37,50000,,,TM03,Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance),Teaches Water Pulse to a compatible Pokémon.
308,tm04,37,50000,,,TM04,Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind),Teaches Calm Mind to a compatible Pokémon.
309,tm05,37,50000,,,TM05,Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick),Teaches Roar to a compatible Pokémon.
310,tm06,37,1000,,,TM06,Teaches Toxic to a compatible Pokémon.,Teaches Toxic to a compatible Pokémon.
311,tm07,37,1000,,,TM07,Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill),Teaches Hail to a compatible Pokémon.
312,tm08,37,50000,,,TM08,Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam),Teaches Bulk Up to a compatible Pokémon.
313,tm09,37,50000,,,TM09,Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down),Teaches Bullet Seed to a compatible Pokémon.
314,tm10,37,1000,,,TM10,Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge),Teaches Hidden Power to a compatible Pokémon.
315,tm11,37,1000,,,TM11,Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam),Teaches Sunny Day to a compatible Pokémon.
316,tm12,37,50000,,,TM12,Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun),Teaches Taunt to a compatible Pokémon.
317,tm13,37,10000,,,TM13,Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore),Teaches Ice Beam to a compatible Pokémon.
318,tm14,37,1000,,,TM14,Teaches Blizzard to a compatible Pokémon.,Teaches Blizzard to a compatible Pokémon.
319,tm15,37,1000,,,TM15,Teaches Hyper Beam to a compatible Pokémon.,Teaches Hyper Beam to a compatible Pokémon.
320,tm16,37,1000,,,TM16,Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day),Teaches Light Screen to a compatible Pokémon.
321,tm17,37,10000,,,TM17,Teaches Protect to a compatible Pokémon. (Gen I: Submission),Teaches Protect to a compatible Pokémon.
322,tm18,37,10000,,,TM18,Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter),Teaches Rain Dance to a compatible Pokémon.
323,tm19,37,10000,,,TM19,Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss),Teaches Giga Drain to a compatible Pokémon.
324,tm20,37,100000,,,TM20,Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage),Teaches Safeguard to a compatible Pokémon.
325,tm21,37,1000,,,TM21,Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain),Teaches Frustration to a compatible Pokémon.
326,tm22,37,1000,,,TM22,Teaches SolarBeam to a compatible Pokémon.,Teaches SolarBeam to a compatible Pokémon.
327,tm23,37,10000,,,TM23,Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage),Teaches Iron Tail to a compatible Pokémon.
328,tm24,37,1000,,,TM24,Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath),Teaches Thunderbolt to a compatible Pokémon.
329,tm25,37,10000,,,TM25,Teaches Thunder to a compatible Pokémon.,Teaches Thunder to a compatible Pokémon.
330,tm26,37,1000,,,TM26,Teaches Earthquake to a compatible Pokémon.,Teaches Earthquake to a compatible Pokémon.
331,tm27,37,1000,,,TM27,Teaches Return to a compatible Pokémon. (Gen I: Fissure),Teaches Return to a compatible Pokémon.
332,tm28,37,100000,,,TM28,Teaches Dig to a compatible Pokémon.,Teaches Dig to a compatible Pokémon.
333,tm29,37,1000,,,TM29,Teaches Psychic to a compatible Pokémon.,Teaches Psychic to a compatible Pokémon.
334,tm30,37,1000,,,TM30,Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport),Teaches Shadow Ball to a compatible Pokémon.
335,tm31,37,1000,,,TM31,Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic),Teaches Brick Break to a compatible Pokémon.
336,tm32,37,10000,,,TM32,Teaches Double Team to a compatible Pokémon.,Teaches Double Team to a compatible Pokémon.
